NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1176,광주광역시 광산구 월계동,879-4,0879,0004,(879-4),23.1484,202408,26,"4,607",2,법인,법인,2016,첨단중앙로106번길 65-12,-,직거래,-
1177,광주광역시 광산구 월계동,879-4,0879,0004,(879-4),23.1484,202408,26,"4,607",2,법인,법인,2016,첨단중앙로106번길 65-12,-,직거래,-
1178,광주광역시 광산구 월계동,879-4,0879,0004,(879-4),23.1484,202408,26,"4,607",2,법인,법인,2016,첨단중앙로106번길 65-12,-,직거래,-
1179,대전광역시 서구 둔산동,939,0939,0000,매그놀리아,50.21,202408,26,"13,500",12,법인,법인,2008,청사로 148,-,중개거래,대전 서구
1180,대전광역시 서구 둔산동,939,0939,0000,매그놀리아,49.42,202408,26,"13,500",16,개인,개인,2008,청사로 148,-,중개거래,대전 서구
1181,대전광역시 유성구 도룡동,4월 9일,0004,0009,도룡 하우스디,35.7573,202408,26,"16,400",7,개인,개인,2019,엑스포로151번길 19,-,중개거래,대전 유성구
1182,대전광역시 유성구 관평동,940,0940,0000,DTVan-S,59.45,202408,26,"18,500",10,개인,개인,2018,테크노중앙로 50,-,중개거래,대전 유성구
1183,울산광역시 동구 방어동,925-10,0925,0010,하우스토리,84.68,202408,26,"16,500",11,개인,개인,2017,방어진순환도로 499,-,중개거래,울산 동구
1184,세종특별자치시  대평동,687,0687,0000,펠리체타워1,32.4843,202408,26,"8,100",8,개인,개인,2017,대평로 71,-,중개거래,세종
1185,경기도 수원시 팔달구 우만동,26-25,0026,0025,트레보,17.105,202408,26,"5,800",8,개인,개인,2004,권광로 386,-,중개거래,경기 수원시 영통구
1186,경기도 수원시 영통구 영통동,1012-1,1012,0001,영통역아이파크,26.0811,202408,26,"14,500",15,개인,개인,2017, ,-,중개거래,경기 수원시 영통구
1187,경기도 수원시 영통구 영통동,1012-1,1012,0001,영통역아이파크,26.0811,202408,26,"15,000",9,개인,개인,2017, ,-,중개거래,경기 수원시 영통구
1188,경기도 성남시 중원구 성남동,2263,2263,0000,현대그린타운,36.86,202408,26,"9,000",10,개인,개인,1999,광명로 71,-,중개거래,경기 성남시 중원구
1189,경기도 성남시 중원구 성남동,3135,3135,0000,지앤느 모란,21.42,202408,26,"15,600",6,개인,개인,2020,산성대로 136,-,중개거래,서울 강남구
1190,경기도 성남시 분당구 야탑동,219-2,0219,0002,야탑 브라운스톤 오피스텔,37,202408,26,"17,000",6,개인,개인,2005,야탑로205번길 40,-,중개거래,경기 성남시 분당구
1191,경기도 성남시 분당구 삼평동,658,0658,0000,판교역 KCC웰츠타워,84.24,202408,26,"88,000",12,법인,개인,2013,분당내곡로 159,-,중개거래,경기 성남시 분당구
1192,경기도 안양시 동안구 관양동,1722,1722,0000,거성아우룸팰리스,44.85,202408,26,"28,000",5,개인,개인,2016,동편로 24-3,-,중개거래,경기 안양시 동안구
1193,경기도 부천시 원미구 중동,1125-1,1125,0001,루미아트,73.5,202408,26,"23,000",15,개인,개인,2004,38,-,중개거래,경기 부천시 원미구
1194,경기도 부천시 원미구 상동,447,0447,0000,송내리더스텔,34.06,202408,26,"7,000",8,개인,개인,1999,120,-,직거래,-
1195,경기도 부천시 소사구 송내동,564-5,0564,0005,송내동 564-5 주상복합시설,61.68,202408,26,"23,700",5,개인,개인,2017,157,-,중개거래,경기 부천시 소사구
1196,경기도 광명시 소하동,952,0952,0000,주건축물제1동,69.7,202408,26,"28,700",2,개인,개인,2018,영당안로7번길 3,-,중개거래,경기 광명시
1197,경기도 안산시 단원구 고잔동,528,0528,0000,블루빌타운,28.125,202408,26,"5,900",3,법인,개인,2003,화랑로 408,-,중개거래,경기 안산시 단원구
